id,checkpoint,description,lecturer,videourl,objective,Question,Answer,position,mediafire,tags,lesson,topic,seab,subject
1,Economics: The Big Fuzzy Monster,Welcome to Economics! This checkpoint will get you started on the fundamentals of Economics.,openlectures,http://youtu.be/CcLwXK5kj24,Understand the objectives of economics as a social science,Economics concerns...,"How and why we use resources! And that is in turn because resources are limited. If there was an unlimited supply of cookies in the world, why would we care about buying cookies or producing it? We can just summon cookies. Same for everything else that we study in economics!",1,http://www.mediafire.com/?vsq2zmxmc3m5tr1,,Scarcity and Choice,Introduction to Economics and Scarcity,"Scarcity, Choice and Opportunity Cost",Economics
2,What Scarcity?,Scarcity arises because there are limited resources but unlimited wants.,openlectures,http://youtu.be/gpMAYjw7sKU,Define scarcity and understand that scarcity arises from limited resources and unlimited wants,What is scarcity and why is there scarcity?,Wants and resources.,2,http://www.mediafire.com/?9ns9ee19nd62t99,,Scarcity and Choice,Introduction to Economics and Scarcity,"Scarcity, Choice and Opportunity Cost",Economics
3,Tough Choices,So what if there are limited resources but unlimited wants? Well that makes choices necessary.,openlectures,http://youtu.be/T1yx-UYz1yE,Understand the need for choices due to scarcity,Why do we need to make choices?,Want and needs,3,http://www.mediafire.com/?550jp5iqpq0w3qq,,Scarcity and Choice,Introduction to Economics and Scarcity,"Scarcity, Choice and Opportunity Cost",Economics
4,Introducing Opportunity Cost,"Opportunity cost is defined as the cost of any activity, measured in terms of the next best opportunity forgone.",openlectures,http://youtu.be/Q9JWiijex2s,Define opportunity cost and understand that making different choices will create opportunity cost,What is opportunity cost?,Think in terms of what you forgo when you make a choice.,1,http://www.mediafire.com/?4009wk946y8q5hd,,Opportunity Cost,Introduction to Economics and Scarcity,"Scarcity, Choice and Opportunity Cost",Economics
5,Quantifying Opportunity Cost,Opportunity cost can be expressed numerically. Let's see how.,openlectures,http://youtu.be/TprZHAdP7vE,Quantify opportunity cost,"If you can grow either 100 tomatoes or 50 apples, what is the opportunity cost of growing 50 apples?",100 tomatoes because that is what you forgo! Sad you if you like tomatoes. I personally like apples more.,2,http://www.mediafire.com/?c2904kba41nxs0k,,Opportunity Cost,Introduction to Economics and Scarcity,"Scarcity, Choice and Opportunity Cost",Economics
6,Thin Red Line,A Production Possibility Curve can be created from the possible production combinations of two goods.,openlectures,http://youtu.be/5OQe7IgZKwA,Understand how a PPC is created from a table of production possibilities.,What is a Production Possibility Curve,Relate two different items in a graph,3,http://www.mediafire.com/?cem401854f47gue,,Opportunity Cost,Introduction to Economics and Scarcity,"Scarcity, Choice and Opportunity Cost",Economics
7,Understanding The PPC,"Now that we have the curve, let's use it to express the ideas of efficiency.",openlectures,http://youtu.be/KS6YpzsGO0I,Understand the meaning of the points and the line on the PPC and the significance of the PPC,What is the significance of a PPC?,Think about using resources efficiently.,4,http://www.mediafire.com/?0lgbqxjf80osku5,,Opportunity Cost,Introduction to Economics and Scarcity,"Scarcity, Choice and Opportunity Cost",Economics
8,Why Not A Straight Line?,The outward bowing curve describes the phenomenon of increasing opportunity cost.,openlectures,http://youtu.be/c9QCWOHth3g,Understand that the PPC usually exists as a curve not a straight line,What does the outward bowing curve of the PPC indicate.,Increasing opportunity cost.,5,http://www.mediafire.com/?8c046wt8bspwmmy,,Opportunity Cost,Introduction to Economics and Scarcity,"Scarcity, Choice and Opportunity Cost",Economics
9,Shifting The PPC,"The factors of production directly impact the PPC, and can cause it to expand or contract.",openlectures,http://youtu.be/bsSfepFIzFU,Understand how the PPC can expand or contract.,The movement of the PPC is related to what?,Think about what contributes to the PPC in the first place.,6,http://www.mediafire.com/?22lkd531lh5v3k0,,Opportunity Cost,Introduction to Economics and Scarcity,"Scarcity, Choice and Opportunity Cost",Economics
10,Efficiency,In economics we always try to be as efficient as possible to maximise the use of our resources and save cost.,openlectures,http://youtu.be/6VHtrUg7bgM,Understand the importance of efficiency and its relevance to a PPC.,Why is it important to be efficient.,To maximise and save resources.,7,http://www.mediafire.com/?eu7js28wdnwbg7x,,Opportunity Cost,Introduction to Economics and Scarcity,"Scarcity, Choice and Opportunity Cost",Economics
11,Visualising Demand,"Let's not start from the abstract. Instead, let's use a simple example to illustrate the origins of the demand curve.",openlectures,http://youtu.be/UfyfagcPLkU,Understand the demand curve as a locus of points describing the relationship between price and quantity for the consumer,The demand curve relates two values. What are those?,Price on the y-axis and Quantity on the x-axis,1,http://www.mediafire.com/?dlkw4srngk8r4x8,,You Demand,Demand and Supply,Resource Allocation in Competitive Markets,Economics
12,Connecting The Dots,"Now that we can relate price and quantity using a series of dots, what if we connect those dots?",openlectures,http://youtu.be/mU3UBHjK914,Understand the demand curve as infinitely many dots relating price and quantity for the consumer,How is the demand curve formed?,"When we plot the relationship (using dots) between price and quantity for many different quantities, we get a curve!",2,http://www.mediafire.com/?4st6zdqlre26x9y,,You Demand,Demand and Supply,Resource Allocation in Competitive Markets,Economics
13,Consumer Surplus,"Now that we know what the demand curve is, let's talk about welfare in economics.",openlectures,http://youtu.be/nWy5zHbskos,Define consumer surplus using the demand curve,What is consumer surplus?,It is the welfare that the consumer gets. It is represented by the area below the demand curve and above the price,3,http://www.mediafire.com/?nxzplqfl3c6v4tg,,You Demand,Demand and Supply,Resource Allocation in Competitive Markets,Economics
14,Demand Vs Quantity Demanded,There's a huge difference between a shift along the demand curve and the entire curve shifting. Let's learn more about that.,openlectures,http://youtu.be/hAgDPIlIV_w,Understand the difference between demand and quantity demanded,What causes a shift along the demand curve and what causes a shift of the demand curve?,Price causes a shift along the demand curve. Non price factors causes a shift of the demand curve.,4,http://www.mediafire.com/?vk0tnheqn87qzga,,You Demand,Demand and Supply,Resource Allocation in Competitive Markets,Economics
15,Visualising Supply,"With demand comes supply. You will find the supply curve very similar to the demand curve, except that it is from a producer's perspective",openlectures,http://youtu.be/DsEKMoPwqfA,Understand the supply curve as a locus of points describing the relationship between price and quantity,The supply curve shows the relationship between two values as well. What are these two values?,"Like the demand curve, price on the y-axis and quantity on the x-axis as well.",1,http://www.mediafire.com/?a281o5cwouvruvv,,I Supply,Demand and Supply,Resource Allocation in Competitive Markets,Economics
